Title;Release date;Country;Director;Writer;Rating;ImdbUrl
Star Wars: Episode VI - Return of the Jedi;1983;;;;8,3;http://www.imdb.com/title/tt0086190/
The Lion King;1994;;;;8,3;http://www.imdb.com/title/tt0110357/
Braveheart;1995;;;;8,3;http://www.imdb.com/title/tt0112573/
Singin' in the Rain;1952;;;;8,3;http://www.imdb.com/title/tt0045152/
Some Like It Hot;1959;;;;8,3;http://www.imdb.com/title/tt0053291/
The Avengers;2012;;;;8,3;http://www.imdb.com/title/tt0848228/
Oldboy;2003;;;;8,3;http://www.imdb.com/title/tt0364569/
Amadeus;1984;;;;8,3;http://www.imdb.com/title/tt0086879/
Rashomon;1950;;;;8,3;http://www.imdb.com/title/tt0042876/
Metropolis;1927;;;;8,3;http://www.imdb.com/title/tt0017136/
Bicycle Thieves;1948;;;;8,3;http://www.imdb.com/title/tt0040522/
All About Eve;1950;;;;8,3;http://www.imdb.com/title/tt0042192/
Unforgiven;1992;;;;8,3;http://www.imdb.com/title/tt0105695/
The Apartment;1960;;;;8,3;http://www.imdb.com/title/tt0053604/
Raging Bull;1980;;;;8,3;http://www.imdb.com/title/tt0081398/
2001: A Space Odyssey;1968;;;;8,3;http://www.imdb.com/title/tt0062622/
The Bridge on the River Kwai;1957;;;;8,3;http://www.imdb.com/title/tt0050212/
The Sting;1973;;;;8,3;http://www.imdb.com/title/tt0070735/
Indiana Jones and the Last Crusade;1989;;;;8,3;http://www.imdb.com/title/tt0097576/
Princess Mononoke;1997;;;;8,3;http://www.imdb.com/title/tt0119698/
A Separation;2011;;;;8,3;http://www.imdb.com/title/tt1832382/
Die Hard;1988;;;;8,3;http://www.imdb.com/title/tt0095016/
Pan's Labyrinth;2006;;;;8,3;http://www.imdb.com/title/tt0457430/
Downfall;2004;;;;8,3;http://www.imdb.com/title/tt0363163/
Witness for the Prosecution;1957;;;;8,3;http://www.imdb.com/title/tt0051201/
Batman Begins;2005;;;;8,3;http://www.imdb.com/title/tt0372784/
Mr. Smith Goes to Washington;1939;;;;8,3;http://www.imdb.com/title/tt0031679/
Grave of the Fireflies;1988;;;;8,3;http://www.imdb.com/title/tt0095327/
The Great Escape;1963;;;;8,3;http://www.imdb.com/title/tt0057115/
Inglourious Basterds;2009;;;;8,3;http://www.imdb.com/title/tt0361748/
Yojimbo;1961;;;;8,3;http://www.imdb.com/title/tt0055630/
Up;2009;;;;8,3;http://www.imdb.com/title/tt1049413/
For a Few Dollars More;1965;;;;8,3;http://www.imdb.com/title/tt0059578/
Snatch.;2000;;;;8,3;http://www.imdb.com/title/tt0208092/
The Elephant Man;1980;;;;8,3;http://www.imdb.com/title/tt0080678/
On the Waterfront;1954;;;;8,3;http://www.imdb.com/title/tt0047296/
The Seventh Seal;1957;;;;8,2;http://www.imdb.com/title/tt0050976/
The Maltese Falcon;1941;;;;8,2;http://www.imdb.com/title/tt0033870/
Heat;1995;;;;8,2;http://www.imdb.com/title/tt0113277/
Gran Torino;2008;;;;8,2;http://www.imdb.com/title/tt1205489/
Rebecca;1940;;;;8,2;http://www.imdb.com/title/tt0032976/
Toy Story;1995;;;;8,2;http://www.imdb.com/title/tt0114709/
The General;1926;;;;8,2;http://www.imdb.com/title/tt0017925/
Blade Runner;1982;;;;8,2;http://www.imdb.com/title/tt0083658/
Wild Strawberries;1957;;;;8,2;http://www.imdb.com/title/tt0050986/
Fargo;1996;;;;8,2;http://www.imdb.com/title/tt0116282/
Touch of Evil;1958;;;;8,2;http://www.imdb.com/title/tt0052311/
The Big Lebowski;1998;;;;8,2;http://www.imdb.com/title/tt0118715/
The Kid;1921;;;;8,2;http://www.imdb.com/title/tt0012349/
Ran;1985;;;;8,2;http://www.imdb.com/title/tt0089881/
Scarface;1983;;;;8,2;http://www.imdb.com/title/tt0086250/
Cool Hand Luke;1967;;;;8,2;http://www.imdb.com/title/tt0061512/
The Deer Hunter;1978;;;;8,2;http://www.imdb.com/title/tt0077416/
Sin City;2005;;;;8,2;http://www.imdb.com/title/tt0401792/
Strangers on a Train;1951;;;;8,2;http://www.imdb.com/title/tt0044079/
Jaws;1975;;;;8,2;http://www.imdb.com/title/tt0073195/
The Gold Rush;1925;;;;8,2;http://www.imdb.com/title/tt0015864/
No Country for Old Men;2007;;;;8,2;http://www.imdb.com/title/tt0477348/
It Happened One Night;1934;;;;8,2;http://www.imdb.com/title/tt0025316/
Hotel Rwanda;2004;;;;8,2;http://www.imdb.com/title/tt0395169/
High Noon;1952;;;;8,1;http://www.imdb.com/title/tt0044706/
The Sixth Sense;1999;;;;8,1;http://www.imdb.com/title/tt0167404/
Platoon;1986;;;;8,1;http://www.imdb.com/title/tt0091763/
Lock, Stock and Two Smoking Barrels;1998;;;;8,1;http://www.imdb.com/title/tt0120735/
Butch Cassidy and the Sundance Kid;1969;;;;8,1;http://www.imdb.com/title/tt0064115/
The Thing;1982;;;;8,1;http://www.imdb.com/title/tt0084787/
The Wizard of Oz;1939;;;;8,1;http://www.imdb.com/title/tt0032138/
Kill Bill: Vol. 1;2003;;;;8,1;http://www.imdb.com/title/tt0266697/
Notorious;1946;;;;8,1;http://www.imdb.com/title/tt0038787/
Trainspotting;1996;;;;8,1;http://www.imdb.com/title/tt0117951/
Annie Hall;1977;;;;8,1;http://www.imdb.com/title/tt0075686/
Casino;1995;;;;8,1;http://www.imdb.com/title/tt0112641/
The King's Speech;2010;;;;8,1;http://www.imdb.com/title/tt1504320/
Warrior (;2011;;;;8,1;http://www.imdb.com/title/tt1291584/
The Secret in Their Eyes;2009;;;;8,1;http://www.imdb.com/title/tt1305806/
The Grapes of Wrath;1940;;;;8,1;http://www.imdb.com/title/tt0032551/
Gone with the Wind;1939;;;;8,1;http://www.imdb.com/title/tt0031381/
Into the Wild;2007;;;;8,1;http://www.imdb.com/title/tt0758758/
Black Swan;2010;;;;8,1;http://www.imdb.com/title/tt0947798/
Good Will Hunting;1997;;;;8,1;http://www.imdb.com/title/tt0119217/
Life of Brian;1979;;;;8,1;http://www.imdb.com/title/tt0079470/
The Big Sleep;1946;;;;8,1;http://www.imdb.com/title/tt0038355/
How to Train Your Dragon;2010;;;;8,1;http://www.imdb.com/title/tt0892769/
Finding Nemo;2003;;;;8,1;http://www.imdb.com/title/tt0266543/
V for Vendetta;2005;;;;8,1;http://www.imdb.com/title/tt0434409/
Donnie Darko;2001;;;;8,1;http://www.imdb.com/title/tt0246578/
Network;1976;;;;8,1;http://www.imdb.com/title/tt0074958/
Ben-Hur;1959;;;;8,1;http://www.imdb.com/title/tt0052618/
The Terminator;1984;;;;8,1;http://www.imdb.com/title/tt0088247/
The Night of the Hunter;1955;;;;8,1;http://www.imdb.com/title/tt0048424/
Million Dollar Baby;2004;;;;8,1;http://www.imdb.com/title/tt0405159/
My Neighbor Totoro;1988;;;;8,1;http://www.imdb.com/title/tt0096283/
Dial M for Murder;1954;;;;8,1;http://www.imdb.com/title/tt0046912/
Stand by Me;1986;;;;8,1;http://www.imdb.com/title/tt0092005/
There Will Be Blood;2007;;;;8,1;http://www.imdb.com/title/tt0469494/
Groundhog Day;1993;;;;8,1;http://www.imdb.com/title/tt0107048/
Moonrise Kingdom;2012;;;;8,1;http://www.imdb.com/title/tt1748122/
Dog Day Afternoon;1975;;;;8,1;http://www.imdb.com/title/tt0072890/
The Artist (;2011;;;;8,1;http://www.imdb.com/title/tt1655442/
Twelve Monkeys;1995;;;;8,1;http://www.imdb.com/title/tt0114746/
Amores Perros;2000;;;;8,1;http://www.imdb.com/title/tt0245712/
The Bourne Ultimatum;2007;;;;8,1;http://www.imdb.com/title/tt0440963/
The Graduate;1967;;;;8,1;http://www.imdb.com/title/tt0061722/
Gandhi;1982;;;;8,1;http://www.imdb.com/title/tt0083987/
Mary and Max;2009;;;;8,1;http://www.imdb.com/title/tt0978762/
The 400 Blows;1959;;;;8,1;http://www.imdb.com/title/tt0053198/
The Killing;1956;;;;8,1;http://www.imdb.com/title/tt0049406/
Persona;1966;;;;8,1;http://www.imdb.com/title/tt0060827/
Slumdog Millionaire;2008;;;;8,1;http://www.imdb.com/title/tt1010048/
8?;1963;;;;8,1;http://www.imdb.com/title/tt0056801/
The Princess Bride;1987;;;;8;http://www.imdb.com/title/tt0093779/
The Manchurian Candidate;1962;;;;8;http://www.imdb.com/title/tt0056218/
Who's Afraid of Virginia Woolf?;1966;;;;8;http://www.imdb.com/title/tt0061184/
